(Num),O,E,T,Gb,(   nome   ),Gl,( V),( A),( Pg),( Qg),( Qn),( Qm),(Bc  ),( Pl),( Ql),( Sh),Are,(Vf),-6
123, ,L,0, E,CAMPIN-SP345,5,993,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
124, ,L,0, U,CAMPI1-SP000,6,1050,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
125, ,L,0, C,IBBAT1-PR500,3,1103,-72,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
126, ,L,0, E,GUARUL-SP345,5,1056,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
127, ,L,0, E,MO-RL1-SP345,5,1045,-76,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
128, ,L,0, E,MO-RL2-SP345,5,1045,-76,0,     ,     ,     ,      ,0,     ,     ,1,1015,1
129, ,L,0, E,MOGI---SP345,5,1053,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
130, ,L,0, C,IBBAT2-PR500,3,1103,-72,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
131, ,L,0, E,M.MORA-MG345,5,1038,-79,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
132, ,D,0, U,M.MORA-MG000,6,1015,-20,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
133, ,L,0, U,ADRT1A-RJ000,6,992,-99,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
134, ,L,0, E,LCBARR-SP345,5,1025,-78,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
135, ,L,0, U,JACT1A-RJ000,6,945,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
136, ,L,0, E,FURNAS-MG345,5,1029,-82,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
137, ,L,0, U,JACT2A-RJ000,6,975,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
138, ,L,0, E,ITUTIN-MG345,5,1016,-95,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
139, ,L,0, U,ADRT51-RJ000,6,994,-96,0,     ,     ,     ,      ,0,     ,     ,1,1014,1
140, ,L,0, E,ADRIAN-RJ345,5,1023,-96,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
141, ,L,0, U,ADRT53-RJ000,6,982,-97,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
142, ,L,0, U,ADRT55-RJ000,6,980,-97,0,     ,     ,     ,      ,0,     ,     ,1,1070,1
143, ,L,0, U,ADRT2B-RJ000,6,992,-99,0,     ,     ,     ,      ,0,     ,     ,1,1070,1
144, ,L,0, E,JACARE-RJ345,5,1011,-97,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
145, ,L,0, U,ADRT1B-RJ000,6,992,-100,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
146, ,L,0, U,ADRT2A-RJ000,6,989,-100,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
147, ,L,0, E,CAMPOS-RJ345,5,1000,-110,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
148, ,L,0, U,CAMPO1-RJ000,6,1012,-114,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
149, ,L,0, E,VITORI-ES345,5,1007,-122,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
150, ,L,0, U,VITAT1-ES000,6,989,-126,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
151, ,L,0, N,VIT1CI-ES013,5,1017,-122,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
152, ,L,0, U,VITAT2-ES000,6,989,-126,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
153, ,L,0, U,VITAT3-ES000,6,989,-127,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
154, ,L,0, N,VITAT2-ES013,5,1006,-126,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
155, ,L,0, N,VITAT3-ES013,5,1005,-127,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
156, ,L,0, N,VITAT4-ES013,5,1007,-126,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
157, ,L,0, E,CAMPCA-RJ345,5,1004,-110,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
158, ,L,0, U,VITAT4-ES000,6,990,-126,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
159, ,L,0, X,JA-R30-RJ013,5,975,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
160, ,L,0, X,JB-R60-RJ013,5,944,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
161, ,L,0, F,MO-FCE-SP230,5,1006,-78,0,     ,     ,     ,      ,0.33,0,     ,1,1000,1
162, ,L,0, U,CAMAT1-SP000,6,986,-78,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
163, ,L,0, X,CAMPI--SP013,5,986,-78,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
164, ,L,0, U,PCAT02-MG000,6,1084,-80,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
165, ,L,0, N,P.CAL--MG013,5,1017,-80,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
166, ,L,0, U,JACT1B-RJ000,6,944,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
167, ,L,0, X,JA-R60-RJ013,5,945,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
168, ,L,0, F,BANDE2-GO230,5,1018,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
169, ,L,0, G,SJOSE1-RJ138,5,998,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
170, ,L,0, G,P.CALD-MG138,5,1043,-79,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
171, ,L,0, G,CAMPIN-SP138,5,1028,-78,0,     ,     ,     ,      ,1.01,0,     ,1,1000,1
172, ,L,0, G,IMBARE-RJ138,5,990,-99,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
173, ,L,0, G,ADRIAN-RJ138,5,1040,-99,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
174, ,L,0, G,R.LEAO-RJ138,5,987,-116,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
175, ,L,0, G,CAMPOS-RJ138,5,1031,-114,0,     ,     ,     ,      ,0.25,0,     ,1,1000,1
176, ,L,0, U,CAMPI2-SP000,6,1051,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
177, ,L,0, G,VITORI-ES138,5,1029,-126,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
178, ,L,0, G,GRAJAU-RJ138,5,1027,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
179, ,L,0, U,GR2T54-RJ000,6,1009,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
180, ,L,0, G,JACAR1-RJ138,5,1020,-98,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
181, ,L,0, G,ANGDEF-RJ138,5,1017,-90,0,0,     ,     ,      ,0,     ,     ,1,1037,1
182, ,L,0, G,FUNIL--RJ138,5,1012,-106,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
183, ,L,0, G,C.PAUL-SP138,5,1002,-85,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
184, ,L,0, G,S.CRUZ-RJ138,5,1005,-93,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
185, ,L,0, G,ANGRA--RJ138,5,1032,-82,0,0,     ,     ,      ,3,0,     ,1,1000,1
186, ,L,0, N,CAMPI2-SP013,5,1051,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
187, ,L,0, G,M.MORA-MG138,5,1023,-78,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
189, ,L,0, U,BGERT1-DF000,6,1022,-110,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
190, ,L,0, G,P.COL--MG138,5,1014,-59,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
192, ,L,0, N,CM1CAP-RJ013,5,1012,-114,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
193, ,L,0, N,CM1REA-RJ013,5,1012,-114,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
194, ,L,0, N,ADRT55-RJ013,5,980,-97,0,     ,     ,     ,      ,0,     ,     ,1,1070,1
195, ,L,0, N,ADRT53-RJ013,5,982,-97,0,     ,     ,     ,      ,2.31,0,     ,1,1000,1
196, ,L,0, N,CAMPI1-SP013,5,1050,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
197, ,L,0, N,ADRT51-RJ013,5,994,-96,0,     ,     ,     ,      ,0,     ,     ,1,1014,1
198, ,L,0, N,PCALAT-MG013,5,1038,-80,0,     ,     ,     ,      ,1.17,0,     ,1,1000,1
199, ,L,0, N,VITAT1-ES013,5,1005,-126,0,     ,     ,     ,      ,0.42,0,     ,1,1000,1
200, ,L,0, U,UCAMP1-RJ000,6,1013,-117,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
201, ,L,1, V,RSIL-1UTE001,5,1009,-117,0,-0.691,0,0,      ,1.16,0,     ,1,1000,1
202, ,L,0, U,UCAMP2-RJ000,6,1013,-117,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
203, ,L,1, V,RSIL-2UTE001,5,1009,-117,0,-0.691,0,0,      ,1.16,0,     ,1,1000,1
204, ,L,0, N,ADRT1B-RJ013,5,992,-100,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
205, ,L,0, N,ADRT2A-RJ013,5,989,-100,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
206, ,L,0, N,ADRT2B-RJ013,5,992,-99,0,     ,     ,     ,      ,0,     ,     ,1,1070,1
208, ,L,0, N,BGERT1-DF013,5,1036,-110,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
209, ,L,0, X,ADRIAN-RJ013,5,992,-99,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
210, ,L,0, C,ITUMBI-MG500,3,1041,-75,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
211, ,D,0, U,CAMPO2-RJ000,6,1029,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
212, ,D,0, N,CM2CAP-RJ013,5,1029,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
213, ,L,0, E,MARIMB-MG345,5,1023,-68,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
214, ,L,0, U,MARIMB-MG000,6,1025,-69,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
215, ,D,0, N,CM2REA-RJ013,5,1029,-77,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
216, ,L,0, E,P.COL--MG345,5,1021,-73,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
217, ,L,0, E,ITUMBI-MG345,5,996,-79,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
218, ,L,0, E,BANDEI-GO345,5,1002,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
219, ,L,0, E,B.SUL--DF345,5,1016,-105,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
220, ,L,0, E,CORUMB-GO345,5,999,-84,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
221, ,L,0, L,B.GERA-DF034,5,979,-110,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
222, ,L,0, U,BSULT2-DF000,6,1011,-106,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
223, ,L,0, U,BANDT1-GO000,5,993,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
224, ,L,0, U,BANDT2-GO000,5,993,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
225, ,L,0, F,ITUMBI-MG230,5,1027,-79,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
226, ,L,0, F,BANDEI-GO230,5,1019,-92,0,     ,     ,     ,      ,0.28,0,     ,1,1000,1
227, ,L,0, F,B.GERA-DF230,5,1012,-106,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
228, ,L,0, F,B.SUL--DF230,5,1012,-106,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
229, ,L,0, F,B.ALTO-GO230,5,980,-118,0,     ,     ,     ,      ,0.54,0,     ,1,1000,1
230, ,L,0, F,S.MESA-GO230,5,1030,-109,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
231, ,L,0, F,R.VERD-GO230,5,1010,-79,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
232, ,L,0, N,BSULT2-DF013,5,1011,-106,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
233, ,L,0, C,SAMAMB-DF500,3,1043,-105,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
234, ,L,0, E,SAMAMB-DF345,5,1023,-104,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
235, ,L,0, C,S.MESA-GO500,3,1054,-109,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
236, ,L,0, G,B.SUL--DF138,5,1039,-109,0,     ,     ,     ,      ,0.81,0,     ,1,1000,1
237, ,L,0, G,SAMAMB-DF138,5,1036,-108,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
238, ,L,0, G,R.VERD-GO138,5,1009,-81,0,     ,     ,     ,      ,0.13,0,     ,1,1000,1
239, ,L,0, G,S.MESA-GO138,5,1021,-111,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
240, ,L,0, U,RVERDE-GO000,6,960,-81,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
241, ,L,0, N,RVERDE-GO013,5,952,-81,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
242, ,L,0, X,BANDT1-GO013,5,993,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
243, ,L,0, X,BANDT2-GO013,5,993,-92,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
244, ,L,0, U,BSU-T7-DF000,6,925,-110,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
245, ,L,0, X,BSULT7-DF013,5,925,-110,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
246, ,L,0, N,MARIMB-MG013,5,1025,-69,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
247, ,L,0, G,C.BRAV-GO138,5,1000,-111,0,     ,     ,     ,      ,0,     ,     ,1,1000,1
248, ,L,0, G,RBOIS-TAP138,5,1011,-79,0,     ,     ,     ,      ,0,     ,     ,1,1020,1
249, ,L,0, G,RCLARO-GO138,5,924,-86,0,     ,     ,     ,      ,0,     ,     ,1,1010,1
250, ,L,1, V,NPECANUHE0  ,5,966,-95,0,29.73,-69.1,185,      ,0,     ,     ,40,1000,1
251, ,L,0, G,N.PECA-RJ138,5,1008,-102,0,     ,     ,     ,      ,0,     ,     ,40,1000,1
252, ,L,0, F,N.PECA-RJ230,5,985,-96,0,     ,     ,     ,      ,0,     ,     ,40,1000,1
253, ,L,1, V,FONTESUHE0  ,5,975,-97,0,20.89,-25.2,80,      ,0,     ,     ,40,1000,1
254, ,L,0, G,FONTES-RJ138,5,1008,-102,0,     ,     ,     ,      ,0,     ,     ,40,1000,1
255, ,L,1, V,PPASSOUHE0  ,5,982,-96,0,10.83,-10,35,      ,0,     ,     ,40,1000,1
256, ,L,0, G,PPASSO-RJ138,5,1008,-102,0,     ,     ,     ,      ,0,     ,     ,40,1000,1
257, ,L,1, V,I.POMBUHE0  ,5,1000,-111,0,63.99,-28.1,69.8,      ,0,     ,     ,40,1000,1
258, ,L,0, G,I.POMB-RJ138,5,1018,-114,0,     ,     ,     ,      ,0,     ,     ,40,1000,1
259, ,L,1, N,SCECIL-RJ013,5,1045,-105,0,-4.02,0,14,      ,14.6,0,     ,40,1000,1
260, ,L,0, G,S.CEC-PCH138,5,999,-103,0,0,     ,     ,      ,24.3,1,     ,40,1000,1
261, ,L,1, N,VIGARI-RJ013,5,1048,-105,0,-11.3,0,24,      ,36,0,     ,40,1000,1
262, ,L,0, G,VIGARI-RJ138,5,1004,-102,0,     ,     ,     ,      ,6.4,3,     ,40,1000,1
263, ,L,0, G,TAQUAR-RJ138,5,1015,-98,0,     ,     ,     ,      ,39.1,9.3,     ,9,1000,1
265, ,L,0, G,VULCAN-RJ138,5,1000,-101,0,     ,     ,     ,      ,1.4,0.6,     ,9,1000,1
266, ,L,0, G,S.CLAR-RJ138,5,996,-102,0,     ,     ,     ,      ,31.7,8.7,     ,9,1000,1
267, ,L,0, G,CPP----RJ138,5,996,-101,0,     ,     ,     ,      ,9.4,4,     ,9,1000,1
268, ,L,0, G,CFR---TAP138,5,997,-101,0,     ,     ,     ,      ,0,     ,     ,9,1000,1
269, ,L,1, V,CSN---UTE0  ,5,986,-99,0,45.28,-94,95,      ,0,     ,     ,41,1000,1
270, ,L,0, G,CORDOV-RJ138,5,1003,-100,0,     ,     ,     ,      ,0,     ,     ,9,1000,1
271, ,L,0, G,MERITI-RJ138,5,1003,-99,0,     ,     ,     ,      ,32.6,-15.5,     ,9,1000,1
272, ,L,0, G,TRIAGE-RJ138,5,1001,-101,0,     ,     ,     ,      ,41.2,-19.6,     ,9,1000,1
273, ,L,0, G,SAUDAD-RJ138,5,1040,-107,0,     ,     ,     ,      ,10.9,3,     ,9,1000,1
274, ,L,0, G,V.RED-PCH138,5,1016,-105,0,0,     ,     ,      ,44.7,4.7,     ,9,1000,1
